Metric Type,Ticker,Strategy Type,SMA_FAST,SMA_SLOW,Signal Window,Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Allocation [%],Stop Loss [%]
Mean Avg Winning Trade [%],AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Median Avg Winning Trade [%],AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Most Avg Losing Trade [%],AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Least Avg Losing Trade [%],AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Mean Avg Losing Trade [%],AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Median Avg Losing Trade [%],AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Most Profit Factor,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Least Profit Factor,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Mean Profit Factor,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Median Profit Factor,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Most Expectancy,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Least Expectancy,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Mean Expectancy,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Median Expectancy,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Most Sharpe Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Least Sharpe Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Mean Sharpe Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Median Sharpe Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Most Calmar Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Least Calmar Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Mean Calmar Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Median Calmar Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Most Omega Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Least Omega Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Mean Omega Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Median Omega Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Most Sortino Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Least Sortino Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Mean Sortino Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Median Sortino Ratio,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
Most Max Drawdown Duration,AJG,SMA,7,11,0,true,false,1,523,0.9133533252132261,45.01915708812261,1.4060220176554967,0.8035411408890523,1.0310487665192007,-0.8481432837245577,10 days 22:15:10.344827585,0.034932104346994786,1.0645536493166619,2.12707182320442,0.8554126539095145,0,10317,10318 days 00:00:00,1000.0,29573.873598050406,2857.3873598050404,18816.3383871822,100.0,11102.798685696593,62.65795527488673,4950 days 00:00:00,522,-29.57387359804852,81.38500000000002,-13.546168958742621,4.512459922927234,-2.233378419316428,15 days 21:51:19.148936170,6 days 20:19:14.006968641,54.795876382468435,0.681553893390778,0.20314159316434469,1.1523971977174494,0.7609547556641016,19.22012597826751,1.2452105288747322,0.9254637436762225,-0.015459042589321952,0.00038680816816217916,0.09747565837686915,28.573873598050362,0.08623674072976839,0.17212427975750502,5705,1044,14943.27380952381,,
